Date : 2022-10-29 12:49:04
Directory : c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project
Total : 93 files,  8111 codes, 179 comments, 580 blanks, all 8870 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         58 |      4,042 |         58 |        497 |      4,597 |
| JSON       |          5 |      3,548 |          0 |          4 |      3,552 |
| XML        |         19 |        322 |         54 |         15 |        391 |
| Groovy     |          3 |         91 |          5 |         22 |        118 |
| YAML       |          2 |         40 |         45 |         24 |        109 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Markdown   |          1 |         10 |          0 |          7 |         17 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                            |         93 |      8,111 |        179 |        580 |      8,870 |
| android                                                                                                                                                                      |         13 |        214 |         55 |         33 |        302 |
| android\app                                                                                                                                                                  |          9 |        170 |         54 |         22 |        246 |
| android\app\src                                                                                                                                                              |          7 |         76 |         49 |          9 |        134 |
| android\app\src\debug                                                                                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                                                                         |          5 |         68 |         41 |          7 |        116 |
| android\app\src\main\res                                                                                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                      |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                                                               |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                                       |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                                                       |         12 |      3,658 |          3 |          7 |      3,668 |
| assets\jsons                                                                                                                                                                 |          2 |      3,473 |          0 |          3 |      3,476 |
| assets\jsons\localization                                                                                                                                                    |          1 |         72 |          0 |          0 |         72 |
| assets\svg                                                                                                                                                                   |         10 |        185 |          3 |          4 |        192 |
| ios                                                                                                                                                                          |          5 |         75 |          2 |          5 |         82 |
| ios\Runner                                                                                                                                                                   |          5 |         75 |          2 |          5 |         82 |
| ios\Runner\Assets.xcassets                                                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Base.lproj                                                                                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                          |         57 |      4,030 |         47 |        491 |      4,568 |
| lib\apps                                                                                                                                                                     |         22 |      2,536 |         11 |        288 |      2,835 |
| lib\apps\main_petilla                                                                                                                                                        |         18 |      2,200 |         11 |        248 |      2,459 |
| lib\apps\main_petilla\petilla_main_service                                                                                                                                   |          5 |        196 |          1 |         25 |        222 |
| lib\apps\main_petilla\petilla_main_service\chat_service                                                                                                                      |          1 |         71 |          0 |          4 |         75 |
| lib\apps\main_petilla\petilla_main_service\firebase_crud                                                                                                                     |          1 |         36 |          1 |          4 |         41 |
| lib\apps\main_petilla\petilla_main_service\models                                                                                                                            |          2 |         68 |          0 |         12 |         80 |
| lib\apps\main_petilla\petilla_main_service\models\jsons                                                                                                                      |          1 |         36 |          0 |         10 |         46 |
| lib\apps\main_petilla\petilla_main_service\storage_service.dart                                                                                                              |          1 |         21 |          0 |          5 |         26 |
| lib\apps\main_petilla\petilla_main_view                                                                                                                                      |         12 |      1,925 |         10 |        211 |      2,146 |
| lib\apps\main_petilla\petilla_main_view\main_view                                                                                                                            |          8 |      1,447 |          8 |        152 |      1,607 |
| lib\apps\main_petilla\petilla_main_view\main_view\add_view                                                                                                                   |          4 |        688 |          8 |         80 |        776 |
| lib\apps\main_petilla\petilla_main_view\main_view\add_view\city                                                                                                              |          2 |         66 |          2 |         13 |         81 |
| lib\apps\main_petilla\petilla_main_view\main_view\petilla_main_chats                                                                                                         |          2 |        271 |          0 |         30 |        301 |
| lib\apps\main_petilla\petilla_main_view\other_view                                                                                                                           |          1 |        154 |          0 |         25 |        179 |
| lib\apps\main_petilla\petilla_main_view\petilla_main_widgets                                                                                                                 |          3 |        324 |          2 |         34 |        360 |
| lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\chat_widgets                                                                                                    |          1 |         39 |          1 |          6 |         46 |
| lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\pet_widgets                                                                                                     |          2 |        285 |          1 |         28 |        314 |
| lib\apps\pet_form                                                                                                                                                            |          3 |        322 |          0 |         37 |        359 |
| lib\apps\pet_form\pet_form_view                                                                                                                                              |          2 |        313 |          0 |         34 |        347 |
| lib\apps\pet_form\pet_form_view\main_pet_form_view                                                                                                                           |          2 |        313 |          0 |         34 |        347 |
| lib\apps\pet_media                                                                                                                                                           |          1 |         14 |          0 |          3 |         17 |
| lib\auth                                                                                                                                                                     |          3 |        330 |          2 |         42 |        374 |
| lib\auth\auth_service                                                                                                                                                        |          1 |         40 |          0 |          6 |         46 |
