Date : 2022-11-15 12:03:34
Directory : c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project
Total : 63 files,  360 codes, 7 comments, 68 blanks, all 435 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| lib\apps\main_petilla\petilla_main_view\main_view\petilla_insert_view                                                                                                              |          2 |        100 |          0 |         14 |        114 |
| lib\apps\main_petilla\petilla_main_view\main_view\petilla_main_chats                                                                                                               |          2 |         22 |          0 |          1 |         23 |
| lib\apps\main_petilla\petilla_main_view\other_view                                                                                                                                 |          3 |         44 |          0 |          7 |         51 |
| lib\apps\main_petilla\petilla_main_view\other_view\petilla_detail_view                                                                                                             |          2 |        198 |          0 |         32 |        230 |
| lib\apps\main_petilla\petilla_main_view\petilla_main_widgets                                                                                                                       |          3 |        112 |          1 |         16 |        129 |
| lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\chat_widgets                                                                                                          |          1 |          2 |          0 |          0 |          2 |
| lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\pet_widgets                                                                                                           |          2 |        110 |          1 |         16 |        127 |
| lib\apps\pet_form                                                                                                                                                                  |          6 |          5 |          0 |          3 |          8 |
| lib\apps\pet_form\pet_form_view                                                                                                                                                    |          6 |          5 |          0 |          3 |          8 |
| lib\apps\pet_form\pet_form_view\main_pet_form_view                                                                                                                                 |          2 |       -313 |          0 |        -34 |       -347 |
| lib\apps\pet_form\pet_form_view\petform_group                                                                                                                                      |          2 |        184 |          0 |         21 |        205 |
| lib\apps\pet_form\pet_form_view\petform_home                                                                                                                                       |          2 |        134 |          0 |         16 |        150 |
| lib\auth                                                                                                                                                                           |          6 |         15 |          0 |          5 |         20 |
| lib\auth\auth_view                                                                                                                                                                 |          6 |         15 |          0 |          5 |         20 |
| lib\auth\auth_view\login_view                                                                                                                                                      |          2 |        146 |          1 |         19 |        166 |
| lib\auth\auth_view\register_view                                                                                                                                                   |          2 |        159 |          1 |         22 |        182 |
| lib\constant                                                                                                                                                                       |          3 |          7 |          0 |          2 |          9 |
| lib\constant\localization                                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| lib\constant\strings_constant                                                                                                                                                      |          2 |          6 |          0 |          2 |          8 |
| lib\general                                                                                                                                                                        |          5 |        -87 |          0 |        -13 |       -100 |
| lib\general\general_view                                                                                                                                                           |          3 |          8 |          0 |          2 |         10 |
| lib\general\general_view\profile_view                                                                                                                                              |          2 |        126 |          0 |         16 |        142 |
| lib\general\general_widgets                                                                                                                                                        |          2 |        -95 |          0 |        -15 |       -110 |
| lib\start                                                                                                                                                                          |         15 |         71 |          0 |         15 |         86 |
| lib\start\onboarding                                                                                                                                                               |         11 |          7 |          0 |          6 |         13 |
| lib\start\onboarding\onboarding_pages                                                                                                                                              |          3 |       -117 |         -3 |        -20 |       -140 |
| lib\start\onboarding\onboarding_views                                                                                                                                              |          6 |        117 |          3 |         25 |        145 |
| lib\start\onboarding\onboarding_views\onboarding_one                                                                                                                               |          2 |         39 |          1 |          8 |         48 |
| lib\start\onboarding\onboarding_views\onboarding_three                                                                                                                             |          2 |         39 |          1 |          8 |         48 |
| lib\start\onboarding\onboarding_views\onboarding_two                                                                                                                               |          2 |         39 |          1 |          9 |         49 |
| lib\start\select_app_view                                                                                                                                                          |          3 |        173 |          0 |         22 |        195 |
| lib\start\select_app_view\select_app_widgets                                                                                                                                       |          1 |         64 |          0 |          7 |         71 |
| lib\theme                                                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| lib\theme\light_theme                                                                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| lib\utility                                                                                                                                                                        |          1 |         43 |          0 |          5 |         48 |
| lib\utility\widget_utility                                                                                                                                                         |          1 |         43 |          0 |          5 |         48 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                           | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\assets\jsons\localization\tr-TR.json                                                                  | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\main_petilla.dart                                                               | Dart     |          9 |          0 |          1 |         10 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_service\chat_service\chat_service.dart                             | Dart     |         -4 |          0 |          0 |         -4 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view.dart                              | Dart     |       -250 |         -5 |        -26 |       -281 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view\add_view.dart                     | Dart     |        244 |          4 |         26 |        274 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view\add_view_model.dart               | Dart     |         16 |          0 |          2 |         18 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view_two.dart                          | Dart     |       -372 |         -1 |        -41 |       -414 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view_two\add_view_two.dart             | Dart     |        372 |          1 |         42 |        415 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view_two\add_view_two_view_model.dart  | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\favorites_view\favorites_view.dart                  | Dart     |        110 |          0 |         15 |        125 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_home_view.dart                              | Dart     |       -388 |          0 |        -30 |       -418 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_home_view\petilla_home_view.dart            | Dart     |        389 |          0 |         31 |        420 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_home_view\petilla_home_view_model.dart      | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_insert_view.dart                            | Dart     |       -100 |          0 |        -12 |       -112 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_insert_view\petilla_insert_view.dart        | Dart     |        100 |          0 |         12 |        112 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_insert_view\petilla_insert_view_model.dart  | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_main_chats\chat_select_view.dart            | Dart     |         16 |          0 |          1 |         17 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\petilla_main_chats\in_chat_view.dart                | Dart     |          6 |          0 |          0 |          6 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\other_view\petilla_detail_view.dart                           | Dart     |       -154 |          0 |        -25 |       -179 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\other_view\petilla_detail_view\petilla_detail_view.dart       | Dart     |        197 |          0 |         31 |        228 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\other_view\petilla_detail_view\petilla_detail_view_model.dart | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\chat_widgets\user_chat.dart              | Dart     |          2 |          0 |          0 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\pet_widgets\large_pet_widget.dart        | Dart     |         30 |          1 |          7 |         38 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\petilla_main_widgets\pet_widgets\normal_pet_widget.dart       | Dart     |         80 |          0 |          9 |         89 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\main_pet_form_view\group_template.dart                                | Dart     |       -179 |          0 |        -20 |       -199 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\main_pet_form_view\petform_home_view.dart                             | Dart     |       -134 |          0 |        -14 |       -148 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_group\group_template_view.dart                                | Dart     |        160 |          0 |         18 |        178 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_group\group_template_view_model.dart                          | Dart     |         24 |          0 |          3 |         27 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_home\petform_home_view.dart                                   | Dart     |        134 |          0 |         14 |        148 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\pet_form_view\petform_home\petform_home_view_model.dart                             | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view.dart                                                                    | Dart     |       -139 |         -1 |        -17 |       -157 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view\login_view.dart                                                         | Dart     |        125 |          1 |         17 |        143 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view\login_view_model.dart                                                   | Dart     |         21 |          0 |          2 |         23 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view.dart                                                                 | Dart     |       -151 |         -1 |        -19 |       -171 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view.dart                                                   | Dart     |        136 |          1 |         20 |        157 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view_model.dart                                             | Dart     |         23 |          0 |          2 |         25 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\localization\localization.dart                                                           | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\locale_constants.dart                                                   | Dart     |          3 |          0 |          1 |          4 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\shared_preferences_key_constants.dart                                   | Dart     |          3 |          0 |          1 |          4 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view.dart                                                            | Dart     |       -118 |          0 |        -14 |       -132 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view.dart                                               | Dart     |        110 |          0 |         14 |        124 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view_model.dart                                         | Dart     |         16 |          0 |          2 |         18 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\fav_button.dart                                                           | Dart     |        -31 |          0 |         -8 |        -39 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\select_app_widget.dart                                                    | Dart     |        -64 |          0 |         -7 |        -71 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\main.dart                                                                                         | Dart     |          1 |          1 |          0 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding.dart                                                                  | Dart     |        -11 |          0 |         -1 |        -12 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_pages\onboarding_page_one.dart                                        | Dart     |        -39 |         -1 |         -6 |        -46 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_pages\onboarding_page_three.dart                                      | Dart     |        -39 |         -1 |         -7 |        -47 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_pages\onboarding_page_two.dart                                        | Dart     |        -39 |         -1 |         -7 |        -47 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_view_model.dart                                                       | Dart     |         18 |          0 |          2 |         20 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view.dart                         | Dart     |         39 |          1 |          6 |         46 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view_model.dart                   | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view.dart                     | Dart     |         39 |          1 |          7 |         47 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view_model.dart               | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view.dart                         | Dart     |         39 |          1 |          7 |         47 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view_model.dart                   | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view.dart                                                                        | Dart     |       -109 |          0 |        -13 |       -122 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view.dart                                                        | Dart     |        109 |          0 |         13 |        122 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view_model.dart                                                  | Dart     |          0 |          0 |          2 |          2 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_widgets\select_app_widget.dart                                   | Dart     |         64 |          0 |          7 |         71 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\theme\light_theme\light_theme.dart                                                                | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\widget_utility\fav_button_service.dart                                                    | Dart     |         43 |          0 |          5 |         48 |
| c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\pubspec.yaml                                                                                          | YAML     |         -1 |          6 |          1 |          6 |
| Total                                                                                                                                                                              |          |        360 |          7 |         68 |        435 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
